post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
IG0001589,2025-07-30,Reel,118533.0,5016.0,1287.0,8870.0,1800904.0,2047860.0,1675.0,13.0,515.0,Reels Feed,6.53,Fashion
IG0028547,2025-09-02,Video,14958.0,6949.0,4746.0,9891.0,1901087.0,2097123.0,511.0,26.0,470.0,Hashtags,1.74,Fashion
IG0028646,2025-04-01,Reel,35298.0,2340.0,1283.0,8828.0,1402344.0,1723613.0,741.0,28.0,477.0,external,8.54,Technology
IG0027941,2024-12-10,Carousel,59095.0,3773.0,1143.0,14842.0,1895062.0,1910973.0,606.0,7.0,590.0,Reels Feed,4.13,Comedy
IG0017731,2025-07-28,Reel,99382.0,5632.0,3287.0,444.0,668897.0,1089838.0,351.0,3.0,343.0,Home Feed,2.36,Technology
IG0014230,2025-03-22,Video,153650.0,6071.0,3411.0,12363.0,669644.0,1149521.0,165.0,6.0,238.0,Home Feed,15.27,Fashion
IG0029959,2024-12-24,Reel,81903.0,6629.0,762.0,996.0,1300878.0,1501600.0,24.0,27.0,665.0,external,6.01,Photography
IG0014050,2025-06-29,Reel,8247.0,1505.0,4573.0,7153.0,149011.0,446681.0,669.0,13.0,863.0,Explore,4.81,Technology
IG0001922,2025-05-16,Photo,101204.0,6729.0,2419.0,8032.0,791117.0,1094337.0,1395.0,22.0,822.0,external,10.82,travel
IG0028517,2025-01-08,Photo,323.0,7120.0,2856.0,5348.0,600101.0,899027.0,1963.0,24.0,649.0,external,1.74,travel
IG0005679,2025-01-14,Carousel,154231.0,7617.0,2508.5,5524.0,805029.0,988812.0,1315.0,24.0,132.0,Home Feed,16.94,Fashion
IG0006926,2025-09-05,Photo,93945.0,4147.0,2725.0,7480.0,1291038.0,1718324.0,329.0,23.0,3.0,Hashtags,6.65,Lifestyle
IG0019272,2025-10-10,Video,70624.0,3207.0,1033.0,6718.0,1223688.0,1274797.0,1265.0,6.0,974.0,profile,6.4,Food
IG0002908,2025-06-03,Reel,99382.0,8614.0,641.0,7389.0,993721.0,2261176.0,1892.0,8.0,376.0,Reels Feed,9.36,Fashion
IG0025847,2025-05-19,Video,157266.0,6995.0,1326.0,14317.0,961532.0,1136898.0,1686.0,0.0,945.0,Hashtags,15.82,Music
IG0019593,2024-12-18,Photo,185203.0,3290.0,2151.0,8222.0,1893155.0,2272670.0,877.0,7.0,93.0,Home Feed,8.75,Food
IG0003581,2025-04-03,Carousel,77102.0,8308.0,2737.0,13233.0,1402975.0,1469301.0,1195.0,28.0,169.0,Reels Feed,6.9,Fashion
IG0013085,2025-08-11,Photo,96550.0,1238.0,509.0,8247.0,636474.0,705509.0,1072.0,1.0,574.0,Explore,15.1,Food
IG0018449,2025-05-19,Carousel,133743.0,2380.0,2845.0,13429.0,1478203.0,1927811.0,754.0,2.0,793.0,Hashtags,7.91,travel
IG0025914,2025-07-22,Video,10225.0,5339.0,2987.0,9295.0,678168.0,1161640.0,1914.0,11.0,312.0,Explore,2.4,Technology
IG0027868,2025-08-04,Reel,147824.0,5048.0,2508.5,8657.0,27510.0,384706.0,1809.0,7.0,254.0,Hashtags,8.54,Food
IG0027303,2025-04-22,Photo,132732.0,3206.0,2619.0,3094.0,389374.0,426889.0,51.0,8.0,401.0,profile,8.54,Technology
IG0000622,2025-10-09,Video,191620.0,3299.0,4288.0,7101.0,402673.0,421082.0,1328.0,18.0,596.0,Explore,8.54,Lifestyle
IG0014686,2025-11-10,Photo,70155.0,6490.0,3198.0,1712.0,794669.0,1056023.0,944.0,16.0,203.0,Reels Feed,7.72,Music
IG0025154,2025-01-21,Carousel,166804.0,9197.0,398.0,3585.0,1179437.0,1379844.0,483.0,0.0,384.0,Reels Feed,13.04,beauty
IG0010831,2025-09-20,Reel,182284.0,6189.0,588.0,3535.0,230256.0,517341.0,86.0,15.0,456.0,Hashtags,8.54,travel
IG0003442,2025-10-05,Carousel,120298.0,1109.0,3721.0,1844.0,385507.0,835872.0,89.0,30.0,96.0,Explore,15.19,Comedy
IG0012587,2025-11-16,Carousel,99382.0,1278.0,3774.0,10465.0,800451.0,822189.0,1241.0,8.0,850.0,Explore,17.36,fitness
IG0020481,2025-06-23,Video,27166.0,106.0,2835.0,2186.0,1809929.0,2036351.0,2.0,16.0,884.0,Hashtags,1.59,Music
IG0021368,2025-07-02,Video,175341.0,529.0,242.0,3452.0,1994674.0,2452314.0,1077.0,7.0,353.0,profile,7.32,Lifestyle
IG0007950,2025-09-03,Reel,9912.0,5606.0,3349.0,6832.0,1393843.0,1838345.0,64.0,29.0,703.0,Explore,1.4,Food
IG0016009,2025-07-30,Photo,70151.0,5781.0,2982.0,11456.0,1702653.0,1865795.0,1737.0,27.0,858.0,Home Feed,4.84,Fashion
IG0009619,2025-11-11,Video,91883.0,5048.0,1301.0,4611.0,1767995.0,2117419.0,1966.0,15.0,89.0,profile,4.94,fitness
IG0021686,2025-07-17,Carousel,42322.0,6676.0,2093.0,13750.0,1954035.0,2338963.0,751.0,19.0,964.0,Reels Feed,2.77,fitness
IG0028837,2025-10-22,Carousel,195352.0,3558.0,4962.0,1025.0,838947.0,1150269.0,720.0,25.0,589.0,Hashtags,17.81,Music
IG0020491,2025-06-15,Reel,34303.0,6868.0,2606.0,12567.0,1658838.0,1907493.0,1979.0,8.0,795.0,external,2.95,fitness
IG0000211,2025-03-14,Video,99382.0,1844.0,1364.0,12461.0,688375.0,912478.0,1141.0,22.0,860.0,external,17.34,Food
IG0007794,2025-05-28,Reel,29200.0,2703.0,3164.0,4351.0,1353641.0,1697023.0,185.0,14.0,890.0,external,2.32,beauty
IG0017893,2025-02-09,Reel,89484.0,2105.0,868.0,7480.0,1876391.0,2108891.0,898.0,3.0,867.0,Home Feed,4.44,Comedy
IG0016650,2025-05-22,Photo,98307.0,9944.0,2455.0,14842.0,1566474.0,1925722.0,506.0,27.0,820.0,Reels Feed,6.52,Photography
IG0003509,2025-07-04,Video,86842.0,7558.0,1380.0,14994.0,178119.0,558418.0,1022.0,3.0,218.0,external,19.84,Technology
IG0016773,2025-05-19,Reel,178528.0,3151.0,331.0,6124.0,627860.0,800128.0,1821.0,5.0,803.0,Home Feed,23.51,fitness
IG0010868,2025-06-30,Video,138210.0,8445.0,4666.0,2907.0,1018495.0,1313987.0,1620.0,15.0,51.0,Reels Feed,11.74,travel
IG0004851,2025-09-03,Reel,96943.0,4452.0,4332.0,8276.0,1348010.0,1668333.0,1131.0,30.0,811.0,external,6.83,Technology
IG0023284,2025-07-27,Photo,77829.0,5170.0,3399.0,952.0,426381.0,667132.0,192.0,28.0,498.0,Reels Feed,13.09,travel
IG0026564,2025-03-11,Video,99382.0,5352.0,2508.5,11964.0,1751550.0,1791296.0,102.0,21.0,558.0,external,3.33,Technology
IG0018469,2025-01-16,Photo,184472.0,9500.0,1520.0,14312.0,1336110.0,1409914.0,1075.0,15.0,670.0,Home Feed,14.88,Food
IG0006272,2024-11-25,Video,165779.0,8535.0,3504.0,4504.0,622357.0,999189.0,61.0,1.0,435.0,profile,18.25,Music
IG0014054,2024-12-12,Carousel,110816.0,8820.0,4118.0,11835.0,405824.0,592229.0,600.0,12.0,456.0,profile,22.89,Lifestyle
IG0005349,2025-10-22,Photo,99382.0,7969.0,4273.0,14361.0,1039288.0,1508976.0,372.0,5.0,261.0,external,5.01,Photography
IG0020599,2025-09-19,Video,13439.0,5743.0,1616.0,11568.0,1711939.0,1997286.0,1173.0,8.0,924.0,profile,1.62,Lifestyle
IG0009481,2025-03-26,Photo,159369.0,5048.0,2973.0,13155.0,615798.0,1103602.0,2070.0,10.0,587.0,Reels Feed,16.26,Lifestyle
IG0024648,2025-05-19,Photo,95139.0,5048.0,3033.0,798.0,381669.0,671648.0,831.0,4.0,443.0,Reels Feed,15.97,fitness
IG0026295,2025-01-18,Reel,199451.0,5847.0,2279.0,13474.0,1554507.0,1572360.0,1902.0,8.0,873.0,Home Feed,14.06,Music
IG0001442,2025-01-27,Photo,41091.0,7853.0,3683.0,10834.0,658721.0,994407.0,757.0,24.0,914.0,Explore,6.38,Lifestyle
IG0008650,2025-07-24,Video,99382.0,2098.0,309.0,1039.0,46310.0,501710.0,648.0,17.0,502.0,external,8.54,Comedy
IG0019733,2025-05-19,Reel,82094.0,5661.0,1576.0,4591.0,7036.0,72902.0,1527.0,11.0,565.0,Reels Feed,8.54,beauty
IG0015289,2024-11-29,Carousel,35359.0,4025.0,3591.0,10363.0,1089939.0,1246398.0,1068.0,8.0,328.0,profile,4.28,beauty
IG0008926,2025-08-23,Video,8648.0,2915.0,2169.0,12967.0,1049994.0,1393925.0,168.0,21.0,47.0,Explore,1.92,Music
IG0020447,2025-10-28,Reel,117545.0,5381.0,2508.5,13128.0,1554340.0,1639641.0,1100.0,19.0,680.0,external,8.31,Comedy
IG0012923,2024-12-13,Video,82070.0,9589.0,2090.0,5622.0,754708.0,1097787.0,120.0,25.0,52.0,Explore,9.05,Photography
IG0027939,2025-05-18,Carousel,151962.0,9851.0,4667.0,10651.0,1488679.0,1959456.0,892.0,22.0,174.0,Explore,9.04,Photography
IG0002562,2025-06-26,Photo,152888.0,2885.0,1733.0,10206.0,1658671.0,1242477.0,297.0,29.0,194.0,profile,9.66,Comedy
IG0014530,2025-05-19,Video,129094.0,3941.0,3953.0,3635.0,993721.0,1262810.0,2113.0,15.0,85.0,Explore,11.14,Technology
IG0010155,2025-04-02,Reel,172824.0,7483.0,2173.0,7384.0,1832362.0,1242477.0,1515.0,30.0,690.0,Hashtags,8.47,fitness
IG0024666,2025-10-21,Reel,117409.0,5031.0,2262.0,11827.0,1338050.0,1815956.0,1722.0,19.0,478.0,Explore,7.52,fitness
IG0005666,2025-06-10,Carousel,181848.0,5038.0,3393.0,249.0,1933445.0,2399655.0,145.0,0.0,147.0,Reels Feed,7.94,Photography
IG0021568,2025-04-28,Video,62435.0,2658.0,2669.0,3049.0,1438236.0,1860414.0,991.0,5.0,162.0,Home Feed,3.81,fitness
IG0025618,2024-11-21,Photo,99544.0,7786.0,1603.0,3343.0,1772738.0,2268986.0,1040.0,19.0,575.0,external,4.95,Music
IG0007822,2025-10-07,Carousel,184063.0,2663.0,455.0,1670.0,1246366.0,1466962.0,654.0,28.0,866.0,external,12.87,beauty
IG0020423,2024-11-30,Video,99382.0,1574.0,4013.0,9217.0,255535.0,500527.0,1100.0,3.0,214.0,Home Feed,8.54,beauty
IG0004745,2025-06-13,Photo,157670.0,1435.0,1977.0,12434.0,1058274.0,1094445.0,1420.0,22.0,516.0,external,15.85,Music
IG0012296,2025-07-09,Photo,138508.0,9782.0,2988.0,7480.0,425800.0,474352.0,1802.0,1.0,715.0,Reels Feed,8.54,Comedy
IG0018829,2025-04-05,Photo,104049.0,770.0,2659.0,6265.0,1470071.0,1743513.0,620.0,15.0,216.0,Explore,6.52,Fashion
IG0003777,2025-03-26,Reel,54110.0,7374.0,4295.0,3932.0,422070.0,768430.0,1151.0,18.0,668.0,Explore,9.07,Lifestyle
IG0010291,2025-07-21,Photo,59969.0,438.0,3959.0,10184.0,136831.0,1242477.0,893.0,4.0,619.0,Hashtags,16.94,Lifestyle
IG0019451,2025-04-10,Video,173384.0,5048.0,3293.0,12637.0,880740.0,1261007.0,510.0,5.0,169.0,Home Feed,15.52,travel
IG0002458,2025-03-04,Carousel,159147.0,2242.0,179.0,2829.0,247882.0,346148.0,933.0,17.0,701.0,Reels Feed,8.54,beauty
IG0014541,2024-12-12,Carousel,116794.0,5857.0,3095.0,163.0,586269.0,1077778.0,218.0,0.0,882.0,Explore,11.68,travel
IG0019698,2025-05-12,Video,146429.0,6371.0,3058.0,7835.0,1955881.0,1958925.0,1459.0,29.0,884.0,Home Feed,8.36,beauty
IG0017067,2025-06-28,Carousel,199743.0,5048.0,3203.0,13434.0,603527.0,1083078.0,1456.0,2.0,41.0,external,20.17,Lifestyle
IG0026689,2025-01-20,Reel,126561.0,8847.0,1515.0,5026.0,106203.0,371094.0,612.0,19.0,741.0,Reels Feed,8.54,fitness
IG0012710,2025-10-23,Video,18681.0,5048.0,1543.0,12687.0,1086486.0,1366697.0,747.0,8.0,522.0,Hashtags,2.98,travel
IG0020100,2025-05-04,Photo,82765.0,856.0,4325.0,4201.0,626136.0,1003113.0,453.0,12.0,47.0,Home Feed,9.19,Technology
IG0017766,2025-06-17,Video,161797.0,8470.0,2508.5,11489.0,318794.0,361109.0,912.0,3.0,163.0,Explore,8.54,beauty
IG0010463,2025-05-19,Carousel,134348.0,6785.0,2614.0,14579.0,861704.0,1015827.0,171.0,28.0,747.0,Reels Feed,15.59,Photography
IG0009817,2025-02-11,Reel,1264.0,5048.0,1651.0,8988.0,1612084.0,2035634.0,2102.0,24.0,935.0,Explore,0.77,Fashion
IG0015784,2025-04-25,Carousel,99382.0,5048.0,4517.0,4527.0,1490473.0,1772596.0,1917.0,19.0,818.0,profile,4.88,Technology
IG0002981,2025-03-22,Reel,178974.0,9597.0,3611.0,2301.0,1902729.0,2008032.0,1359.0,25.0,437.0,Explore,9.69,Food
IG0000748,2025-06-26,Reel,87035.0,2086.0,4467.0,2240.0,1631222.0,1805543.0,1100.0,3.0,244.0,Hashtags,5.31,Food
IG0028055,2025-03-26,Reel,53287.0,6143.0,4377.0,12679.0,993721.0,948312.0,1333.0,30.0,701.0,profile,8.07,Fashion
IG0021277,2024-12-13,Video,99382.0,9189.0,2316.0,11985.0,1880056.0,1936958.0,148.0,10.0,129.0,Reels Feed,4.95,Technology
IG0005981,2025-10-19,Photo,6272.0,407.0,1202.0,647.0,1123690.0,1227181.0,2028.0,18.0,198.0,profile,0.69,Food
IG0025846,2025-08-08,Carousel,99382.0,8292.0,1589.0,9176.0,1890096.0,2022607.0,1956.0,29.0,665.0,external,1.88,Lifestyle
IG0001093,2025-11-19,Video,32007.0,9921.0,4659.0,6503.0,319046.0,486253.0,1719.0,6.0,884.0,Explore,10.92,Fashion
IG0004105,2025-07-28,Photo,155085.0,5048.0,328.0,14986.0,459552.0,869980.0,1134.0,28.0,62.0,external,19.88,Lifestyle
IG0012859,2025-04-14,Video,35020.0,9355.0,714.0,6583.0,1491842.0,1670782.0,934.0,25.0,644.0,Home Feed,3.09,Photography
IG0028732,2025-03-22,Reel,99382.0,8134.0,4800.0,10447.0,1010625.0,1077789.0,1441.0,2.0,450.0,Explore,5.85,travel
IG0001331,2025-04-22,Photo,35681.0,9561.0,2715.0,10008.0,375758.0,478566.0,1100.0,27.0,31.0,Home Feed,12.11,Technology
IG0017721,2024-12-17,Video,28851.0,9840.0,3197.0,14394.0,1458352.0,1754310.0,1479.0,19.0,508.0,external,3.21,Food
IG0010135,2025-01-03,Carousel,99382.0,398.0,576.0,10981.0,946937.0,1116911.0,1797.0,25.0,179.0,Reels Feed,2.15,Technology
IG0024006,2025-07-06,Reel,11347.0,123.0,2695.0,2316.0,865855.0,1156315.0,2028.0,2.0,290.0,profile,1.43,fitness
IG0024458,2025-05-18,Photo,42123.0,7638.0,2849.0,10955.0,1791892.0,1242477.0,1081.0,15.0,220.0,Explore,3.3,Food
IG0024842,2025-04-30,Reel,133551.0,5048.0,1402.0,9390.0,304740.0,797711.0,1466.0,2.0,19.0,Hashtags,18.51,Food
IG0028259,2025-03-30,Video,136354.0,4152.0,3100.0,1052.0,1173257.0,1228413.0,785.0,25.0,502.0,Home Feed,11.78,Fashion
IG0028553,2025-01-28,Video,99382.0,3510.0,3651.0,11293.0,1460129.0,1530620.0,1606.0,12.0,634.0,Hashtags,4.63,beauty
IG0024722,2025-04-06,Video,180485.0,6802.0,1004.0,4447.0,605798.0,958096.0,1644.0,15.0,252.0,profile,8.54,Fashion
IG0019362,2024-12-13,Carousel,18308.0,1780.0,704.0,12483.0,1704393.0,1977091.0,290.0,1.0,298.0,profile,1.68,beauty
IG0011204,2025-11-14,Reel,22262.0,909.0,3675.0,9045.0,252573.0,281163.0,786.0,0.0,263.0,profile,12.77,fitness
IG0016888,2025-05-16,Carousel,135420.0,2418.0,4140.0,8961.0,466044.0,1242477.0,2121.0,16.0,426.0,profile,28.54,Food
IG0002347,2025-04-14,Photo,114544.0,8791.0,2711.0,10304.0,1881206.0,2364359.0,1303.0,14.0,788.0,Reels Feed,5.77,Comedy
IG0004385,2025-07-12,Video,51100.0,9078.0,415.0,3974.0,37316.0,1242477.0,1216.0,3.0,743.0,profile,14.12,fitness
IG0022846,2025-02-24,Photo,78508.0,5048.0,3963.0,9415.0,267764.0,484778.0,1257.0,5.0,298.0,external,20.18,Lifestyle
IG0014340,2025-10-25,Carousel,177438.0,6416.0,4551.0,351.0,1167752.0,1641040.0,1439.0,15.0,197.0,external,11.5,travel
IG0028426,2025-05-02,Carousel,101425.0,5048.0,3355.0,9496.0,1296706.0,1323552.0,1758.0,11.0,851.0,Explore,9.33,beauty
IG0003269,2025-08-04,Carousel,80168.0,4770.0,3173.0,2231.0,910011.0,1354757.0,2089.0,1.0,502.0,Explore,6.67,Lifestyle
IG0023673,2025-10-27,Video,31227.0,4000.0,1802.0,14854.0,486553.0,573094.0,1955.0,18.0,830.0,Home Feed,9.05,Technology
IG0014620,2025-08-06,Reel,193239.0,9303.0,2575.0,8520.0,916955.0,1124636.0,2167.0,17.0,810.0,profile,19.0,Music
IG0023823,2025-03-31,Reel,10022.0,466.0,2878.0,6033.0,301030.0,318448.0,1212.0,6.0,436.0,profile,6.09,Photography
IG0022461,2025-02-08,Video,158619.0,1454.0,1498.0,9180.0,1177624.0,1321005.0,1292.0,21.0,502.0,Hashtags,12.93,Photography
IG0020071,2025-02-08,Reel,99382.0,1323.0,2960.0,7423.0,335747.0,776005.0,1040.0,23.0,782.0,external,5.26,travel
IG0023572,2025-07-26,Video,133261.0,2092.0,4038.0,1668.0,1738455.0,2203470.0,1554.0,10.0,717.0,external,6.4,Food
IG0014791,2025-01-08,Video,192737.0,7246.0,4808.0,8798.0,919730.0,1277358.0,1202.0,25.0,186.0,external,16.72,Lifestyle
IG0020028,2025-06-30,Photo,196940.0,7255.0,3651.0,12611.0,1227597.0,1522042.0,677.0,0.0,290.0,Explore,14.48,Photography
IG0017186,2024-11-22,Video,99382.0,9063.0,4352.0,7464.0,382563.0,613595.0,1370.0,25.0,818.0,external,13.11,Technology
IG0007641,2025-07-31,Photo,99382.0,7217.0,3761.0,6492.0,993721.0,721414.0,580.0,24.0,95.0,Hashtags,27.56,Comedy
IG0010505,2025-10-15,Carousel,70990.0,5048.0,4043.0,8634.0,1158123.0,1403116.0,1113.0,3.0,656.0,Hashtags,6.46,Lifestyle
IG0006217,2025-03-30,Reel,80138.0,4676.0,1602.0,3812.0,1688843.0,1981340.0,253.0,15.0,440.0,Hashtags,4.55,Fashion
IG0014889,2025-11-10,Carousel,56619.0,8254.0,3255.0,8934.0,806439.0,1126620.0,1529.0,29.0,482.0,external,6.84,fitness
IG0001685,2025-08-16,Video,161682.0,4159.0,578.0,7690.0,1277320.0,1242477.0,1350.0,13.0,783.0,profile,11.07,Fashion
IG0021186,2025-10-18,Video,185940.0,4554.0,4708.0,8666.0,1924234.0,2136099.0,409.0,24.0,284.0,profile,8.54,Technology
IG0020929,2025-03-30,Reel,161511.0,512.0,2383.0,1990.0,993721.0,600627.0,1329.0,19.0,132.0,Reels Feed,27.7,travel
IG0019411,2025-08-29,Reel,93863.0,9068.0,1235.0,7525.0,1295284.0,1411329.0,1419.0,19.0,13.0,Reels Feed,7.91,beauty
IG0004673,2025-10-05,Carousel,21139.0,4373.0,4981.0,13289.0,285244.0,1242477.0,1281.0,29.0,875.0,Reels Feed,5.63,beauty
IG0002277,2025-01-05,Video,73562.0,7952.0,1639.0,1549.0,593150.0,999294.0,119.0,3.0,224.0,Reels Feed,8.48,Food
IG0015297,2025-06-23,Video,72842.0,3725.0,4488.0,9384.0,323830.0,776989.0,1865.0,28.0,932.0,Hashtags,11.64,Technology
IG0010513,2025-03-02,Carousel,90624.0,5835.0,3703.0,8066.0,1909342.0,1981281.0,1855.0,6.0,848.0,Hashtags,5.46,travel
IG0000431,2025-07-03,Carousel,12588.0,8451.0,411.0,10476.0,1458667.0,1749829.0,1932.0,29.0,502.0,Hashtags,1.82,fitness
IG0024774,2024-12-17,Carousel,91345.0,8851.0,1227.0,10409.0,722185.0,1044933.0,1907.0,4.0,45.0,external,10.7,Food
IG0026641,2025-08-07,Carousel,142506.0,2624.0,4872.0,12607.0,857061.0,1205231.0,1161.0,30.0,375.0,Explore,13.49,beauty
IG0015275,2025-09-06,Photo,11011.0,5096.0,1921.0,798.0,1490734.0,1574657.0,1531.0,2.0,934.0,Hashtags,1.2,Lifestyle
IG0008375,2025-08-28,Reel,190963.0,995.0,2921.0,1358.0,450980.0,601701.0,99.0,24.0,912.0,Hashtags,8.54,Photography
IG0019845,2025-05-19,Reel,82377.0,6710.0,3955.0,758.0,1517491.0,1621428.0,2064.0,15.0,174.0,profile,5.79,Lifestyle
IG0025979,2024-12-04,Photo,142113.0,5971.0,1223.0,13986.0,1072566.0,1118504.0,1236.0,29.0,416.0,Home Feed,14.6,beauty
IG0008891,2025-09-13,Photo,63668.0,9122.0,2824.0,8380.0,825968.0,1031754.0,1017.0,22.0,194.0,Reels Feed,8.14,Photography
IG0007364,2025-08-15,Reel,30244.0,5916.0,683.0,2167.0,1014120.0,1125892.0,2125.0,10.0,956.0,Home Feed,3.46,Photography
IG0029943,2025-01-20,Carousel,122984.0,9516.0,2421.0,9222.0,1175255.0,1334692.0,1842.0,8.0,549.0,external,10.8,Music
IG0024753,2025-06-16,Video,38848.0,5344.0,2123.0,2874.0,1716883.0,1848819.0,1446.0,3.0,853.0,profile,2.66,travel
IG0012905,2025-05-19,Reel,102334.0,5090.0,4235.0,7896.0,1034236.0,1045654.0,1875.0,23.0,452.0,Home Feed,11.43,Music
IG0000424,2025-11-15,Carousel,1246.0,9364.0,3163.0,13327.0,1042388.0,1077088.0,894.0,3.0,334.0,Explore,2.52,Technology
IG0008675,2025-09-18,Carousel,52286.0,9375.0,1884.0,6231.0,844298.0,1061032.0,727.0,15.0,678.0,Hashtags,6.58,travel
IG0022757,2025-01-02,Video,77347.0,9381.0,1820.0,13417.0,722798.0,1048549.0,1381.0,10.0,958.0,external,9.72,Photography
